"Iteration Number","Nodes","P-Value","Agree Ratio","Initial Payoff Matrix"
"66","1000","0.5","0.5","[2.0, 2.0, 8.0, 8.0]"
"67","1000","0.5","0.509","[2.0, 2.0, 8.0, 8.0]"
"68","1000","0.5","0.481","[2.0, 2.0, 8.0, 8.0]"
"69","1000","0.5","0.512","[2.0, 2.0, 8.0, 8.0]"
"70","1000","0.5","0.492","[2.0, 2.0, 8.0, 8.0]"
"71","1000","0.5","0.528","[2.0, 2.0, 8.0, 8.0]"
"72","1000","0.5","0.481","[2.0, 2.0, 8.0, 8.0]"
"73","1000","0.5","0.526","[2.0, 2.0, 8.0, 8.0]"
"74","1000","0.5","0.508","[2.0, 2.0, 8.0, 8.0]"
"75","1000","0.5","0.483","[2.0, 2.0, 8.0, 8.0]"
"76","1000","0.5","0.469","[2.0, 2.0, 8.0, 8.0]"
"77","1000","0.5","0.478","[2.0, 2.0, 8.0, 8.0]"
"78","1000","0.5","0.53","[2.0, 2.0, 8.0, 8.0]"
"79","1000","0.5","0.502","[2.0, 2.0, 8.0, 8.0]"
"80","1000","0.5","0.503","[2.0, 2.0, 8.0, 8.0]"
"81","1000","0.5","0.513","[2.0, 2.0, 8.0, 8.0]"
"82","1000","0.5","0.511","[2.0, 2.0, 8.0, 8.0]"
"83","1000","0.5","0.511","[2.0, 2.0, 8.0, 8.0]"
"84","1000","0.5","0.512","[2.0, 2.0, 8.0, 8.0]"
"85","1000","0.5","0.519","[2.0, 2.0, 8.0, 8.0]"
"86","1000","0.5","0.497","[2.0, 2.0, 8.0, 8.0]"
"87","1000","0.5","0.495","[2.0, 2.0, 8.0, 8.0]"
"88","1000","0.5","0.518","[2.0, 2.0, 8.0, 8.0]"
"89","1000","0.5","0.51","[2.0, 2.0, 8.0, 8.0]"
"90","1000","0.5","0.531","[2.0, 2.0, 8.0, 8.0]"
"91","1000","0.5","0.494","[2.0, 2.0, 8.0, 8.0]"
"92","1000","0.5","0.489","[2.0, 2.0, 8.0, 8.0]"
"93","1000","0.5","0.515","[2.0, 2.0, 8.0, 8.0]"
"94","1000","0.5","0.529","[2.0, 2.0, 8.0, 8.0]"
"95","1000","0.5","0.485","[2.0, 2.0, 8.0, 8.0]"
"96","1000","0.5","0.487","[2.0, 2.0, 8.0, 8.0]"
"97","1000","0.5","0.512","[2.0, 2.0, 8.0, 8.0]"
"98","1000","0.5","0.51","[2.0, 2.0, 8.0, 8.0]"
"99","1000","0.5","0.486","[2.0, 2.0, 8.0, 8.0]"
"100","1000","0.5","0.5","[2.0, 2.0, 8.0, 8.0]"
