"Iteration Number","Nodes","P-Value","Agree Ratio","Initial Payoff Matrix"
"1","1000","0.5","0.736","[2.0, 2.0, 8.0, 8.0]"
"2","1000","0.5","0.666","[2.0, 2.0, 8.0, 8.0]"
"3","1000","0.5","0.593","[2.0, 2.0, 8.0, 8.0]"
"4","1000","0.5","0.582","[2.0, 2.0, 8.0, 8.0]"
"5","1000","0.5","0.525","[2.0, 2.0, 8.0, 8.0]"
"6","1000","0.5","0.527","[2.0, 2.0, 8.0, 8.0]"
"7","1000","0.5","0.507","[2.0, 2.0, 8.0, 8.0]"
"8","1000","0.5","0.515","[2.0, 2.0, 8.0, 8.0]"
"9","1000","0.5","0.519","[2.0, 2.0, 8.0, 8.0]"
"10","1000","0.5","0.517","[2.0, 2.0, 8.0, 8.0]"
"11","1000","0.5","0.475","[2.0, 2.0, 8.0, 8.0]"
"12","1000","0.5","0.497","[2.0, 2.0, 8.0, 8.0]"
"13","1000","0.5","0.49","[2.0, 2.0, 8.0, 8.0]"
"14","1000","0.5","0.511","[2.0, 2.0, 8.0, 8.0]"
"15","1000","0.5","0.515","[2.0, 2.0, 8.0, 8.0]"
"16","1000","0.5","0.508","[2.0, 2.0, 8.0, 8.0]"
"17","1000","0.5","0.503","[2.0, 2.0, 8.0, 8.0]"
"18","1000","0.5","0.476","[2.0, 2.0, 8.0, 8.0]"
"19","1000","0.5","0.497","[2.0, 2.0, 8.0, 8.0]"
"20","1000","0.5","0.497","[2.0, 2.0, 8.0, 8.0]"
"21","1000","0.5","0.509","[2.0, 2.0, 8.0, 8.0]"
"22","1000","0.5","0.514","[2.0, 2.0, 8.0, 8.0]"
"23","1000","0.5","0.518","[2.0, 2.0, 8.0, 8.0]"
"24","1000","0.5","0.49","[2.0, 2.0, 8.0, 8.0]"
"25","1000","0.5","0.493","[2.0, 2.0, 8.0, 8.0]"
"26","1000","0.5","0.487","[2.0, 2.0, 8.0, 8.0]"
"27","1000","0.5","0.5","[2.0, 2.0, 8.0, 8.0]"
"28","1000","0.5","0.513","[2.0, 2.0, 8.0, 8.0]"
"29","1000","0.5","0.488","[2.0, 2.0, 8.0, 8.0]"
"30","1000","0.5","0.505","[2.0, 2.0, 8.0, 8.0]"
"31","1000","0.5","0.5","[2.0, 2.0, 8.0, 8.0]"
"32","1000","0.5","0.53","[2.0, 2.0, 8.0, 8.0]"
"33","1000","0.5","0.5","[2.0, 2.0, 8.0, 8.0]"
"34","1000","0.5","0.471","[2.0, 2.0, 8.0, 8.0]"
"35","1000","0.5","0.473","[2.0, 2.0, 8.0, 8.0]"
"36","1000","0.5","0.495","[2.0, 2.0, 8.0, 8.0]"
"37","1000","0.5","0.506","[2.0, 2.0, 8.0, 8.0]"
"38","1000","0.5","0.502","[2.0, 2.0, 8.0, 8.0]"
"39","1000","0.5","0.522","[2.0, 2.0, 8.0, 8.0]"
"40","1000","0.5","0.515","[2.0, 2.0, 8.0, 8.0]"
"41","1000","0.5","0.521","[2.0, 2.0, 8.0, 8.0]"
"42","1000","0.5","0.489","[2.0, 2.0, 8.0, 8.0]"
"43","1000","0.5","0.512","[2.0, 2.0, 8.0, 8.0]"
"44","1000","0.5","0.469","[2.0, 2.0, 8.0, 8.0]"
"45","1000","0.5","0.498","[2.0, 2.0, 8.0, 8.0]"
"46","1000","0.5","0.492","[2.0, 2.0, 8.0, 8.0]"
"47","1000","0.5","0.511","[2.0, 2.0, 8.0, 8.0]"
"48","1000","0.5","0.538","[2.0, 2.0, 8.0, 8.0]"
"49","1000","0.5","0.497","[2.0, 2.0, 8.0, 8.0]"
"50","1000","0.5","0.513","[2.0, 2.0, 8.0, 8.0]"
"51","1000","0.5","0.49","[2.0, 2.0, 8.0, 8.0]"
"52","1000","0.5","0.506","[2.0, 2.0, 8.0, 8.0]"
"53","1000","0.5","0.496","[2.0, 2.0, 8.0, 8.0]"
"54","1000","0.5","0.522","[2.0, 2.0, 8.0, 8.0]"
"55","1000","0.5","0.49","[2.0, 2.0, 8.0, 8.0]"
"56","1000","0.5","0.497","[2.0, 2.0, 8.0, 8.0]"
"57","1000","0.5","0.491","[2.0, 2.0, 8.0, 8.0]"
"58","1000","0.5","0.507","[2.0, 2.0, 8.0, 8.0]"
"59","1000","0.5","0.514","[2.0, 2.0, 8.0, 8.0]"
"60","1000","0.5","0.479","[2.0, 2.0, 8.0, 8.0]"
"61","1000","0.5","0.499","[2.0, 2.0, 8.0, 8.0]"
"62","1000","0.5","0.507","[2.0, 2.0, 8.0, 8.0]"
"63","1000","0.5","0.489","[2.0, 2.0, 8.0, 8.0]"
"64","1000","0.5","0.529","[2.0, 2.0, 8.0, 8.0]"
"65","1000","0.5","0.502","[2.0, 2.0, 8.0, 8.0]"
