"Iteration Number","Nodes","P-Value","Agree Ratio","Initial Payoff Matrix"
"88","1000","0.5","0.512","[2.0, 2.0, 200.0, 200.0]"
"89","1000","0.5","0.49","[2.0, 2.0, 200.0, 200.0]"
"90","1000","0.5","0.488","[2.0, 2.0, 200.0, 200.0]"
"91","1000","0.5","0.518","[2.0, 2.0, 200.0, 200.0]"
"92","1000","0.5","0.511","[2.0, 2.0, 200.0, 200.0]"
"93","1000","0.5","0.51","[2.0, 2.0, 200.0, 200.0]"
"94","1000","0.5","0.519","[2.0, 2.0, 200.0, 200.0]"
"95","1000","0.5","0.51","[2.0, 2.0, 200.0, 200.0]"
"96","1000","0.5","0.514","[2.0, 2.0, 200.0, 200.0]"
"97","1000","0.5","0.506","[2.0, 2.0, 200.0, 200.0]"
"98","1000","0.5","0.519","[2.0, 2.0, 200.0, 200.0]"
"99","1000","0.5","0.501","[2.0, 2.0, 200.0, 200.0]"
"100","1000","0.5","0.518","[2.0, 2.0, 200.0, 200.0]"
