"Iteration Number","Nodes","P-Value","Agree Ratio","Initial Payoff Matrix"
"1","1000","0.5","0.031","[100.0, 100.0, 2.0, 2.0]"
"2","1000","0.5","0.195","[100.0, 100.0, 2.0, 2.0]"
"3","1000","0.5","0.358","[100.0, 100.0, 2.0, 2.0]"
"4","1000","0.5","0.446","[100.0, 100.0, 2.0, 2.0]"
"5","1000","0.5","0.449","[100.0, 100.0, 2.0, 2.0]"
"6","1000","0.5","0.468","[100.0, 100.0, 2.0, 2.0]"
"7","1000","0.5","0.447","[100.0, 100.0, 2.0, 2.0]"
"8","1000","0.5","0.477","[100.0, 100.0, 2.0, 2.0]"
"9","1000","0.5","0.461","[100.0, 100.0, 2.0, 2.0]"
"10","1000","0.5","0.478","[100.0, 100.0, 2.0, 2.0]"
"11","1000","0.5","0.5","[100.0, 100.0, 2.0, 2.0]"
"12","1000","0.5","0.486","[100.0, 100.0, 2.0, 2.0]"
"13","1000","0.5","0.476","[100.0, 100.0, 2.0, 2.0]"
"14","1000","0.5","0.489","[100.0, 100.0, 2.0, 2.0]"
"15","1000","0.5","0.47","[100.0, 100.0, 2.0, 2.0]"
"16","1000","0.5","0.491","[100.0, 100.0, 2.0, 2.0]"
"17","1000","0.5","0.522","[100.0, 100.0, 2.0, 2.0]"
"18","1000","0.5","0.468","[100.0, 100.0, 2.0, 2.0]"
"19","1000","0.5","0.463","[100.0, 100.0, 2.0, 2.0]"
"20","1000","0.5","0.456","[100.0, 100.0, 2.0, 2.0]"
"21","1000","0.5","0.507","[100.0, 100.0, 2.0, 2.0]"
"22","1000","0.5","0.472","[100.0, 100.0, 2.0, 2.0]"
"23","1000","0.5","0.495","[100.0, 100.0, 2.0, 2.0]"
"24","1000","0.5","0.515","[100.0, 100.0, 2.0, 2.0]"
"25","1000","0.5","0.493","[100.0, 100.0, 2.0, 2.0]"
"26","1000","0.5","0.464","[100.0, 100.0, 2.0, 2.0]"
"27","1000","0.5","0.502","[100.0, 100.0, 2.0, 2.0]"
"28","1000","0.5","0.5","[100.0, 100.0, 2.0, 2.0]"
"29","1000","0.5","0.505","[100.0, 100.0, 2.0, 2.0]"
"30","1000","0.5","0.503","[100.0, 100.0, 2.0, 2.0]"
"31","1000","0.5","0.49","[100.0, 100.0, 2.0, 2.0]"
"32","1000","0.5","0.505","[100.0, 100.0, 2.0, 2.0]"
"33","1000","0.5","0.502","[100.0, 100.0, 2.0, 2.0]"
"34","1000","0.5","0.506","[100.0, 100.0, 2.0, 2.0]"
"35","1000","0.5","0.505","[100.0, 100.0, 2.0, 2.0]"
"36","1000","0.5","0.5","[100.0, 100.0, 2.0, 2.0]"
"37","1000","0.5","0.491","[100.0, 100.0, 2.0, 2.0]"
"38","1000","0.5","0.494","[100.0, 100.0, 2.0, 2.0]"
"39","1000","0.5","0.469","[100.0, 100.0, 2.0, 2.0]"
"40","1000","0.5","0.465","[100.0, 100.0, 2.0, 2.0]"
"41","1000","0.5","0.483","[100.0, 100.0, 2.0, 2.0]"
"42","1000","0.5","0.498","[100.0, 100.0, 2.0, 2.0]"
"43","1000","0.5","0.501","[100.0, 100.0, 2.0, 2.0]"
"44","1000","0.5","0.504","[100.0, 100.0, 2.0, 2.0]"
"45","1000","0.5","0.484","[100.0, 100.0, 2.0, 2.0]"
"46","1000","0.5","0.47","[100.0, 100.0, 2.0, 2.0]"
"47","1000","0.5","0.503","[100.0, 100.0, 2.0, 2.0]"
"48","1000","0.5","0.52","[100.0, 100.0, 2.0, 2.0]"
"49","1000","0.5","0.487","[100.0, 100.0, 2.0, 2.0]"
"50","1000","0.5","0.489","[100.0, 100.0, 2.0, 2.0]"
"51","1000","0.5","0.497","[100.0, 100.0, 2.0, 2.0]"
"52","1000","0.5","0.484","[100.0, 100.0, 2.0, 2.0]"
