"Iteration Number","Nodes","P-Value","Agree Ratio","Initial Payoff Matrix"
"53","1000","0.5","0.495","[100.0, 100.0, 2.0, 2.0]"
"54","1000","0.5","0.485","[100.0, 100.0, 2.0, 2.0]"
"55","1000","0.5","0.469","[100.0, 100.0, 2.0, 2.0]"
"56","1000","0.5","0.503","[100.0, 100.0, 2.0, 2.0]"
"57","1000","0.5","0.502","[100.0, 100.0, 2.0, 2.0]"
"58","1000","0.5","0.515","[100.0, 100.0, 2.0, 2.0]"
"59","1000","0.5","0.486","[100.0, 100.0, 2.0, 2.0]"
"60","1000","0.5","0.495","[100.0, 100.0, 2.0, 2.0]"
"61","1000","0.5","0.488","[100.0, 100.0, 2.0, 2.0]"
"62","1000","0.5","0.478","[100.0, 100.0, 2.0, 2.0]"
"63","1000","0.5","0.499","[100.0, 100.0, 2.0, 2.0]"
"64","1000","0.5","0.482","[100.0, 100.0, 2.0, 2.0]"
"65","1000","0.5","0.495","[100.0, 100.0, 2.0, 2.0]"
"66","1000","0.5","0.493","[100.0, 100.0, 2.0, 2.0]"
"67","1000","0.5","0.504","[100.0, 100.0, 2.0, 2.0]"
"68","1000","0.5","0.483","[100.0, 100.0, 2.0, 2.0]"
"69","1000","0.5","0.497","[100.0, 100.0, 2.0, 2.0]"
"70","1000","0.5","0.49","[100.0, 100.0, 2.0, 2.0]"
"71","1000","0.5","0.49","[100.0, 100.0, 2.0, 2.0]"
"72","1000","0.5","0.476","[100.0, 100.0, 2.0, 2.0]"
"73","1000","0.5","0.488","[100.0, 100.0, 2.0, 2.0]"
"74","1000","0.5","0.488","[100.0, 100.0, 2.0, 2.0]"
"75","1000","0.5","0.489","[100.0, 100.0, 2.0, 2.0]"
"76","1000","0.5","0.484","[100.0, 100.0, 2.0, 2.0]"
"77","1000","0.5","0.477","[100.0, 100.0, 2.0, 2.0]"
"78","1000","0.5","0.507","[100.0, 100.0, 2.0, 2.0]"
"79","1000","0.5","0.5","[100.0, 100.0, 2.0, 2.0]"
"80","1000","0.5","0.497","[100.0, 100.0, 2.0, 2.0]"
"81","1000","0.5","0.514","[100.0, 100.0, 2.0, 2.0]"
"82","1000","0.5","0.477","[100.0, 100.0, 2.0, 2.0]"
"83","1000","0.5","0.479","[100.0, 100.0, 2.0, 2.0]"
"84","1000","0.5","0.484","[100.0, 100.0, 2.0, 2.0]"
"85","1000","0.5","0.478","[100.0, 100.0, 2.0, 2.0]"
"86","1000","0.5","0.507","[100.0, 100.0, 2.0, 2.0]"
"87","1000","0.5","0.498","[100.0, 100.0, 2.0, 2.0]"
"88","1000","0.5","0.469","[100.0, 100.0, 2.0, 2.0]"
"89","1000","0.5","0.481","[100.0, 100.0, 2.0, 2.0]"
"90","1000","0.5","0.497","[100.0, 100.0, 2.0, 2.0]"
"91","1000","0.5","0.506","[100.0, 100.0, 2.0, 2.0]"
"92","1000","0.5","0.494","[100.0, 100.0, 2.0, 2.0]"
"93","1000","0.5","0.497","[100.0, 100.0, 2.0, 2.0]"
"94","1000","0.5","0.484","[100.0, 100.0, 2.0, 2.0]"
"95","1000","0.5","0.501","[100.0, 100.0, 2.0, 2.0]"
"96","1000","0.5","0.484","[100.0, 100.0, 2.0, 2.0]"
"97","1000","0.5","0.487","[100.0, 100.0, 2.0, 2.0]"
"98","1000","0.5","0.48","[100.0, 100.0, 2.0, 2.0]"
"99","1000","0.5","0.466","[100.0, 100.0, 2.0, 2.0]"
"100","1000","0.5","0.49","[100.0, 100.0, 2.0, 2.0]"
